"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.mon-expert-en-gestion.com/145.239.37.162","443","INFO","HTTP","",""
"pre_128cipher","www.mon-expert-en-gestion.com/145.239.37.162","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.mon-expert-en-gestion.com/145.239.37.162","443","OK","not offered","",""
"SSLv3","www.mon-expert-en-gestion.com/145.239.37.162","443","OK","not offered","",""
"TLS1","www.mon-expert-en-gestion.com/145.239.37.162","443","INFO","not offered","",""
"TLS1_1","www.mon-expert-en-gestion.com/145.239.37.162","443","INFO","not offered","",""
"TLS1_2","www.mon-expert-en-gestion.com/145.239.37.162","443","OK","offered","",""
"TLS1_3","www.mon-expert-en-gestion.com/145.239.37.162","443","OK","offered with final","",""
"ALPN_HTTP2","www.mon-expert-en-gestion.com/145.239.37.162","443","OK","h2","",""
"cipherlist_NULL","www.mon-expert-en-gestion.com/145.239.37.162","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.mon-expert-en-gestion.com/145.239.37.162","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.mon-expert-en-gestion.com/145.239.37.162","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.mon-expert-en-gestion.com/145.239.37.162","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.mon-expert-en-gestion.com/145.239.37.162","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.mon-expert-en-gestion.com/145.239.37.162","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.mon-expert-en-gestion.com/145.239.37.162","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.mon-expert-en-gestion.com/145.239.37.162","443","OK","offered","",""
"cipher_order-tls1_2","www.mon-expert-en-gestion.com/145.239.37.162","443","OK","server","",""
"cipherorder_TLSv1_2","www.mon-expert-en-gestion.com/145.239.37.162","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.mon-expert-en-gestion.com/145.239.37.162","443","OK","server","",""
"FS","www.mon-expert-en-gestion.com/145.239.37.162","443","OK","offered","",""
"FS_ciphers","www.mon-expert-en-gestion.com/145.239.37.162","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","www.mon-expert-en-gestion.com/145.239.37.162","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.mon-expert-en-gestion.com/145.239.37.162","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.mon-expert-en-gestion.com/145.239.37.162","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.mon-expert-en-gestion.com/145.239.37.162","443","INFO","yes","",""
